mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004572629928588867,0.002331774902369836,0.007623481750488281,0.003243607649820455,gini,3,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5}",0.9166666666666666,0.8301886792452831,0.7924528301886793,0.7692307692307693,0.782608695652174,0.8182295281967145,0.05322978823087962,30
0.0026163101196289063,0.0003892715448393266,0.003704833984375,0.0004420053965949937,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10}",0.9361702127659575,0.8363636363636363,0.7924528301886793,0.7924528301886793,0.84,0.8394879019013904,0.052501597034310364,15
0.004084873199462891,0.0028739178395571913,0.007653284072875977,0.002830555550208871,gini,3,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15}",0.9361702127659575,0.9019607843137255,0.7843137254901961,0.7924528301886793,0.8235294117647058,0.8476853929046527,0.06070501972389354,1
0.0025623798370361327,0.0006258759828736628,0.004231119155883789,0.0012118964416677378,gini,5,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5}",0.8695652173913043,0.8301886792452831,0.8076923076923077,0.7142857142857143,0.6818181818181818,0.7807100200865582,0.07108194105660418,32
0.005904102325439453,0.0041106166506128415,0.007512569427490234,0.005201243706388064,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.9361702127659575,0.8363636363636363,0.7924528301886793,0.7924528301886793,0.8076923076923077,0.833026363439852,0.05400745990316873,17
0.003233051300048828,0.0008108850448813638,0.004897594451904297,0.0013709654505262472,gini,5,15,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15}",0.9361702127659575,0.9019607843137255,0.7843137254901961,0.7924528301886793,0.8235294117647058,0.8476853929046527,0.06070501972389354,1
0.004521799087524414,0.003850919242618176,0.005556154251098633,0.002857827115901672,gini,6,5,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5}",0.8695652173913043,0.7843137254901961,0.8076923076923077,0.7142857142857143,0.6818181818181818,0.7715350293355409,0.06694349621278745,38
0.002913379669189453,0.0006373115409085967,0.0033596038818359377,0.0008099627385014951,gini,6,10,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10}",0.9361702127659575,0.8363636363636363,0.7924528301886793,0.7924528301886793,0.8076923076923077,0.833026363439852,0.05400745990316873,17
0.005608844757080078,0.004261869406722403,0.007670831680297851,0.0042595409626617065,gini,6,15,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 15}",0.9361702127659575,0.9019607843137255,0.7843137254901961,0.7924528301886793,0.8235294117647058,0.8476853929046527,0.06070501972389354,1
0.002982616424560547,0.0006209429425886957,0.005199337005615234,0.0015351781646623776,gini,7,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 5}",0.8695652173913043,0.7843137254901961,0.8076923076923077,0.7142857142857143,0.6818181818181818,0.7715350293355409,0.06694349621278745,38
0.00542607307434082,0.002779911903719834,0.014434194564819336,0.014312221568649504,gini,7,10,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 10}",0.9361702127659575,0.8363636363636363,0.7924528301886793,0.7924528301886793,0.8076923076923077,0.833026363439852,0.05400745990316873,17
0.0040967464447021484,0.0029515969578876983,0.007605314254760742,0.005612793732880068,gini,7,15,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 15}",0.9361702127659575,0.9019607843137255,0.7843137254901961,0.7924528301886793,0.8235294117647058,0.8476853929046527,0.06070501972389354,1
0.0033865928649902343,0.000877481428836249,0.008342885971069336,0.008160795275773836,gini,8,5,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 5}",0.8695652173913043,0.7843137254901961,0.8076923076923077,0.7142857142857143,0.6666666666666666,0.7685047263052378,0.07114703859483905,41
0.005408573150634766,0.0035434619206508736,0.00435032844543457,0.0010398718925784482,gini,8,10,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 10}",0.9361702127659575,0.8363636363636363,0.7924528301886793,0.7924528301886793,0.8076923076923077,0.833026363439852,0.05400745990316873,17
0.00381317138671875,0.0013605937781973573,0.006991672515869141,0.004049883578558894,gini,8,15,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 15}",0.9361702127659575,0.9019607843137255,0.7843137254901961,0.7924528301886793,0.8235294117647058,0.8476853929046527,0.06070501972389354,1
0.0022632122039794923,0.0003956054589312713,0.005227088928222656,0.0011137054950071117,gini,9,5,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 5}",0.8695652173913043,0.7843137254901961,0.8076923076923077,0.7142857142857143,0.6818181818181818,0.7715350293355409,0.06694349621278745,38
0.0056854248046875,0.0025293806835457373,0.007451486587524414,0.004572129004339864,gini,9,10,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 10}",0.9361702127659575,0.8363636363636363,0.7924528301886793,0.7924528301886793,0.8076923076923077,0.833026363439852,0.05400745990316873,17
0.003808450698852539,0.0019267960246913223,0.006110048294067383,0.0021483846732524544,gini,9,15,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 15}",0.9361702127659575,0.9019607843137255,0.7843137254901961,0.7924528301886793,0.8235294117647058,0.8476853929046527,0.06070501972389354,1
